city,_housing_status,_subcategory,_categorized_address_data,_source,arrests
Los Angeles,unhoused,transient,1942 TRANSIRNT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSOIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENTN,regex,1.0
Los Angeles,unhoused,transient,1942 TRANST,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIENBT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIEBT,regex,1.0
Los Angeles,unhoused,transient,1942 1942,regex,1.0
Los Angeles,unhoused,transient,1942 HAWAII,regex,1.0
Los Angeles,unhoused,transient,1942 RANSIENT ST,regex,1.0
Los Angeles,unhoused,transient,1942 RANSIENTT,regex,1.0
Los Angeles,unhoused,transient,1942 TARANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TARNSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TARSNIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TERANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TR4ANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRAINEST,regex,1.0
Los Angeles,unhoused,transient,1942 TRAINSIET,regex,1.0
Los Angeles,unhoused,transient,1942 TRAISENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRAMNSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIEMT,regex,1.0
Los Angeles,unhoused,transient,1942 TRAN,regex,1.0
Los Angeles,unhoused,transient,1942 TRANIENT STREE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANIENT STRET,regex,1.0
Los Angeles,unhoused,transient,1942 TRANIESN,regex,1.0
Los Angeles,unhoused,transient,1942 TRANISIENT STRE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANISNET AVE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANKSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANNSIENT AVE,regex,1.0
Los Angeles,unhoused,transient,1942 TRANS AVE,regex,1.0
Los Angeles,unhoused,transient,F1942 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSEANT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSENT ST,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIANT BL,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSIDENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANIENT ST,regex,1.0
Los Angeles,unhoused,transient,194 TRANSEINT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANSTIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANTSIENT,regex,1.0
Los Angeles,unhoused,transient,1942Y TRANSIETN,regex,1.0
Los Angeles,unhoused,transient,19432 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,19442 TRANSIENT ST,regex,1.0
Los Angeles,unhoused,transient,1945 TRAMSIENT,regex,1.0
Los Angeles,unhoused,transient,1945 TRANIENT,regex,1.0
Los Angeles,unhoused,transient,1946 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1949 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1952 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,19542 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1961 TRANS ST,regex,1.0
Los Angeles,unhoused,transient,1961 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1964 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1965 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942S TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1973 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1992 TRANSIENT ST,regex,1.0
Los Angeles,unhoused,transient,19942 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,2127 1942 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,2369 TRANSIT,regex,1.0
Los Angeles,unhoused,transient,3426 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,**** CLINTON HOMELES,regex,1.0
Los Angeles,unhoused,transient,4192 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,4212 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,4219 TRANS,regex,1.0
Los Angeles,unhoused,transient,4942 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,5701 1942 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,7942 TRANSIENT ST,regex,1.0
Los Angeles,unhoused,transient,9142 TRANSCIENT,regex,1.0
Los Angeles,unhoused,transient,1974 TRANSIENT,regex,1.0
Los Angeles,unhoused,transient,1942 TRANTIENT,regex,1.0
